id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,custom_label_0
LEV-GAF-10H1-001,Gafa ROCKBROS 10H1 - Negro con Azul,"Gafa deportiva ROCKBROS con protección UV 100% y lente polarizado, armazón ajustable a la medida.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-gaf-10h1-001,https://levwild.com/images/products/gafa-rockbros-10h1-negroazul-01.webp,ROCKBROS,Gafas,Gafas,Negro con Azul
LEV-GAF-10H1-002,Gafa ROCKBROS 10H1 - Blanco con Azul,"Gafa deportiva ROCKBROS con protección UV 100% y lente polarizado, armazón ajustable a la medida.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-gaf-10h1-002,https://levwild.com/images/products/gafa-rockbros-10h1-blancoazul-01.webp,ROCKBROS,Gafas,Gafas,Blanco con Azul
LEV-GAF-10H1-003,Gafa ROCKBROS 10H1 - Verde con Blanco,"Gafa deportiva ROCKBROS con protección UV 100% y lente polarizado, armazón ajustable a la medida.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-gaf-10h1-003,https://levwild.com/images/products/gafa-rockbros-10h1-verdeblanco-01.webp,ROCKBROS,Gafas,Gafas,Verde con Blanco
LEV-GAF-10H2-001,Gafa ROCKBROS 10H2 - Negro con Rojo,"Gafa deportiva ROCKBROS con protección UV 100% y lente polarizado, armazón ajustable a la medida, incluye 4 visores intercambiables adicionales.",in stock,new,35.00 USD,https://levwild.com/#producto-lev-gaf-10h2-001,https://levwild.com/images/products/gafa-rockbros-10h2-negrorojo-01.webp,ROCKBROS,Gafas,Gafas,Negro con Rojo
LEV-AUD-H12-001,Audífonos deportivos H12 - Negros,"Audífonos deportivos inalámbricos, ultraligeros y resistentes al agua, ideales para entrenar.",in stock,new,33.00 USD,https://levwild.com/#producto-lev-aud-h12-001,https://levwild.com/images/products/audifono-h12-negro-01.webp,LEV Wild Spirit,Audífonos,Audífonos,Negros
LEV-AUD-OPENAIR-001,Audífonos deportivos OpenAir Duet - Negros,"Audífonos deportivos inalámbricos, ultraligeros y resistentes al agua, con batería de larga duración.",in stock,new,30.00 USD,https://levwild.com/#producto-lev-aud-openair-001,https://levwild.com/images/products/audifono-openair-duet-negro-01.webp,LEV Wild Spirit,Audífonos,Audífonos,Negros
LEV-LUZ-FRENO-001,Luz Trasera Aluminio con Sensor de Freno - Aluminio Pro (Automática),"Luz trasera profesional de alta potencia con sensor de freno, que brilla más fuerte automáticamente al frenar para máxima seguridad en tus rutas.",in stock,new,21.00 USD,https://levwild.com/#producto-lev-luz-freno-001,https://levwild.com/images/products/luz-trasera-sensorfreno-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Aluminio Pro (Automática)
LEV-LUZ-FRENO-002,Luz Trasera Ligera con Sensor de Freno - Polímero Ligero (Automática),"Luz trasera ligera con sensor de freno automático. Aumenta su brillo al frenar, brindando máxima seguridad en tus rutas a un precio accesible.",in stock,new,15.00 USD,https://levwild.com/#producto-lev-luz-freno-002,https://levwild.com/images/products/luz-trasera-sensorfreno002-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Polímero Ligero (Automática)
LEV-LUZ-1300-001,Luz Delantera 1300 Lúmenes - Delantera,"Luz delantera de brillo extremo para visibilidad total en rutas de montaña o ciudad, incluso en la oscuridad más absoluta.",in stock,new,33.00 USD,https://levwild.com/#producto-lev-luz-1300-001,https://levwild.com/images/products/luz-delantera-1300lm-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Delantera
LEV-LUZ-1000-001,Luz Delantera 1000 Lúmenes - Delantera,"Luz delantera de brillo extremo para visibilidad total en rutas de montaña o ciudad, incluso en la oscuridad más absoluta.",in stock,new,28.00 USD,https://levwild.com/#producto-lev-luz-1000-001,https://levwild.com/images/products/luz-delantera-1000lm-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Delantera
LEV-LUZ-COB-001,Luz Trasera LED COB Recargable - Trasera,"Luz trasera tipo COB de alto brillo, súper ligera y resistente, que se carga como un celular sin necesidad de pilas.",in stock,new,11.00 USD,https://levwild.com/#producto-lev-luz-cob-001,https://levwild.com/images/products/luz-trasera-cob-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Trasera
LEV-LUZ-DUAL-001,Luz Dual Blanca/Roja - Dual (Delantera/Trasera),"Luz dual de alta potencia para bicicleta o casco, con luz blanca al frente y roja atrás para ser visto desde cualquier ángulo.",in stock,new,16.00 USD,https://levwild.com/#producto-lev-luz-dual-001,https://levwild.com/images/products/luz-dual-blancoroja-01.webp,LEV Wild Spirit,Iluminación,Iluminación,Dual (Delantera/Trasera)
LEV-GUA-001,Guantes de Ciclismo - Adulto,"Guantes de ciclismo half-finger que equilibran protección, estilo y ventilación, ideales para MTB, ruta o uso urbano.",in stock,new,14.00 USD,https://levwild.com/#producto-lev-gua-001,https://levwild.com/images/products/guante-ciclismo-adulto-01.webp,LEV Wild Spirit,Guantes,Guantes,Adulto
LEV-GUA-NINO-001,Guantes de Ciclismo para Niños Knightlaood - Niños,Guantes de ciclismo infantiles que brindan seguridad y confort para que los niños exploren al aire libre con confianza.,in stock,new,12.00 USD,https://levwild.com/#producto-lev-gua-nino-001,https://levwild.com/images/products/guante-nino-knightlaood-01.webp,Knightlaood,Guantes,Guantes,Niños
LEV-PED-MTB-001,Pedal Mixto MTB - Ciclismo,"Pedal mixto muy versátil, utilizable con zapatos de ciclismo o zapatos deportivos comunes; ideal para quienes inician con clips, ciclistas urbanos y rutas de montaña técnicas.",in stock,new,37.00 USD,https://levwild.com/#producto-lev-ped-mtb-001,https://levwild.com/images/products/pedal-mixto-mtb-01.webp,LEV Wild Spirit,Componentes,Componentes,Ciclismo
LEV-BOL-MOCHDEL-001,Mochila Delantera para Bicicleta - Ciclismo,Mochila que se instala en el cuadro delantero de la bicicleta para llevar tus cosas al alcance de la mano durante la ruta.,in stock,new,25.00 USD,https://levwild.com/#producto-lev-bol-mochdel-001,https://levwild.com/images/products/mochila-delantera-bici-01.webp,LEV Wild Spirit,Bolsas,Bolsas,Ciclismo
LEV-BOL-RINESC-001,Bolso/Riñonera para Escalada - Escalada,Riñonera técnica de alta capacidad para optimizar tu equipo de escalada.,in stock,new,25.00 USD,https://levwild.com/#producto-lev-bol-rinesc-001,https://levwild.com/images/products/rinonera-escalada-01.webp,LEV Wild Spirit,Bolsas,Bolsas,Escalada
LEV-BOL-GYM-001,Bolsa Gym Magnética - Gimnasio,"Bolsa magnética que se adhiere a cualquier máquina o rack del gimnasio, para mantener tus pertenencias limpias y a la mano durante el entrenamiento.",in stock,new,20.00 USD,https://levwild.com/#producto-lev-bol-gym-001,https://levwild.com/images/products/bolsa-gym-magnetica-01.webp,LEV Wild Spirit,Bolsas,Bolsas,Gimnasio
LEV-GOR-001,Gorra de Ciclismo RockBross - Ciclismo,"Gorra deportiva ligera y transpirable, diseñada para un ajuste perfecto bajo el casco o para uso durante las cicleadas, con protección solar y estilo.",in stock,new,18.00 USD,https://levwild.com/#producto-lev-gor-001,https://levwild.com/images/products/gorra-ciclismo-01.webp,LEV Wild Spirit,Gorras,Gorras,Ciclismo
LEV-AUD-LANG-TS19-001,Audífonos Open-Ear Langsdom TS19 - Beige,"Audífonos deportivos abiertos (open-ear) que van sobre la oreja sin tapar el oído, ideales para entrenar y escuchar tu entorno con total seguridad. Incluyen micrófono de voz clara para llamadas fluidas, ajuste ergonómico ligero y hasta 40 horas de batería total con su estuche.",in stock,new,36.00 USD,https://levwild.com/#producto-lev-aud-lang-ts19-001,https://levwild.com/images/products/audifono-ts19-beige-001.webp,Langsdom,Audífonos,Audífonos,Beige
LEV-AUD-LANG-TS19-003,Audífonos Open-Ear Langsdom TS19 - Negros,"Audífonos deportivos abiertos (open-ear) que van sobre la oreja sin tapar el oído, ideales para entrenar y escuchar tu entorno con total seguridad. Incluyen micrófono de voz clara para llamadas fluidas, ajuste ergonómico ligero y hasta 40 horas de batería total con su estuche.",in stock,new,36.00 USD,https://levwild.com/#producto-lev-aud-lang-ts19-003,https://levwild.com/images/products/audifono-ts19-negro-001.webp,Langsdom,Audífonos,Audífonos,Negros
LEV-BOL-ESC-001,Bolso de Magnesio Luckstone - Azul,"Bolsa de magnesio práctica y resistente para escalada y gimnasio. Viene con cordón ajustable con seguro para que no se riegue el magnesio, dos bolsillos con cierre (frontal y lateral) ideales para guardar el celular o las llaves, correa para la cintura y agarraderas elásticas para sujetar cepillos o enganchar mosquetones",in stock,new,20.00 USD,https://levwild.com/#producto-lev-bol-esc-001,https://levwild.com/images/products/bolsa-magnesio-azul-001.webp,Luckstone,Bolsas,Bolsas,Azul
LEV-BOL-ESC-002,Bolso de Magnesio Luckstone - Amarillo,"Bolsa de magnesio práctica y resistente para escalada y gimnasio. Viene con cordón ajustable con seguro para que no se riegue el magnesio, dos bolsillos con cierre (frontal y lateral) ideales para guardar el celular o las llaves, correa para la cintura y agarraderas elásticas para sujetar cepillos o enganchar mosquetones",in stock,new,20.00 USD,https://levwild.com/#producto-lev-bol-esc-002,https://levwild.com/images/products/bolsa-magnesio-amarillo-001.webp,Luckstone,Bolsas,Bolsas,Amarillo
LEV-BOL-ESC-003,Bolso de Magnesio Luckstone - Verde,"Bolsa de magnesio práctica y resistente para escalada y gimnasio. Viene con cordón ajustable con seguro para que no se riegue el magnesio, dos bolsillos con cierre (frontal y lateral) ideales para guardar el celular o las llaves, correa para la cintura y agarraderas elásticas para sujetar cepillos o enganchar mosquetones",in stock,new,20.00 USD,https://levwild.com/#producto-lev-bol-esc-003,https://levwild.com/images/products/bolsa-magnesio-verde-001.webp,Luckstone,Bolsas,Bolsas,Verde
LEV-BOL-ESC-004,Bolso de Magnesio Luckstone - Negro,"Bolsa de magnesio práctica y resistente para escalada y gimnasio. Viene con cordón ajustable con seguro para que no se riegue el magnesio, dos bolsillos con cierre (frontal y lateral) ideales para guardar el celular o las llaves, correa para la cintura y agarraderas elásticas para sujetar cepillos o enganchar mosquetones",in stock,new,20.00 USD,https://levwild.com/#producto-lev-bol-esc-004,https://levwild.com/images/products/bolsa-magnesio-negro-001.webp,Luckstone,Bolsas,Bolsas,Negro
